NAME,CEEPR_NAMES,TERRITORIES_TO_MAP,STATES _W_SRVC_TERRITORY,CEEPR_NAMES,ISO/RTO
CITY OF CALDWELL,,,,,
CITY OF CALEDONIA - (MN),,,,,
CITY OF CALHOUN - (GA),,,,,
CITY OF CALIENTE - (NV),,,,,
CITY OF CALIFORNIA - (MO),,,,,
CITY OF CALLENDER - (IA),,,,,
CITY OF CAMBRIDGE - (NE),,,,,
CITY OF CAMDEN,,,,,
CITY OF CAMERON,,,,,
CITY OF CAMILLA,,,,,
CITY OF CARLISLE- (IA),,,,,
CITY OF CARLYLE - (IL),,,,,
CITY OF CARMI - (IL),,,,,
CITY OF CARTERSVILLE - (GA),,,,,
CITY OF CARTHAGE - (MO),,,,,
CITY OF CASCADE LOCKS - (OR),,,,,
CITY OF CASEY - (IL),,,,,
CITY OF CASTROVILLE - (TX),,,,,
CITY OF CAVALIER - (ND),,,,,
CITY OF CAWKER CITY - (KS),,,,,
CITY OF CELINA - (OH),,,,,
CITY OF CENTER - (CO),,,,,
CITY OF CENTRAL CITY,,,,,
CITY OF CENTRALIA - (KS),,,,,
CITY OF CENTRALIA - (MO),,,,,
CITY OF CENTRALIA - (WA),,,,,
CITY OF CEYLON - (MN),,,,,
CITY OF CHANUTE,,,,,
CITY OF CHAPMAN - (KS),,,,,
CITY OF CHAPPELL - (NE),,,,,
CITY OF CHARLEVOIX - (MI),,,,,
CITY OF CHASKA - (MN),,,,,
CITY OF CHATTAHOOCHEE - (FL),,,,,
CITY OF CHATTANOOGA - (TN),,,,,
CITY OF CHEFORNAK,,,,,
CITY OF CHENEY - (WA),,,,,
CITY OF CHERRYVILLE - (NC),,,,,
CITY OF CHETOPA - (KS),,,,,
CITY OF CHEWELAH,,,,,
CITY OF CHICKAMAUGA,,,,,
CITY OF CHICOPEE - (MA),,,,,
CITY OF CHIGNIK - (AK),,,,,
CITY OF CIMARRON - (KS),,,,,
CITY OF CLAREMORE,,,,,
CITY OF CLARKSVILLE - (TN),,,,,
CITY OF CLAY CENTER - (KS),,,,,
CITY OF CLEVELAND - (OH),,,,,
CITY OF CLEVELAND - (TN),,,,,
CITY OF CLEWISTON,,,,,
CITY OF CLINTON - (TN),,,,,
CITY OF CLINTONVILLE - (WI),,,,,
CITY OF CODY,,,,,
CITY OF COFFEYVILLE - (KS),,,,,
CITY OF COGGON - (IA),,,,,
